firstname,surname,team,position,searchable_name
Marc,Wilson,Stoke,D,marc wilson
Karim,El Ahmadi,Villa,M,karim el ahmadi
Jack,Hunt,Palace,D,jack hunt
Jon,Williams,Palace,M,jon williams
Cabral, ,S'land,M,cabral  
Jonjo,Shelvey,Swansea,M,jonjo shelvey
Charles,N'Zogbia,Villa,M,charles n'zogbia
Modibo,Maïga,West Ham,F,modibo maiga
Allan,McGregor,Hull,G,allan mcgregor
Cheikhou,Kouyaté,West Ham,D,cheikhou kouyate
Wayne,Hennessey,Palace,G,wayne hennessey
Lukasz,Fabianski,Swansea,G,lukasz fabianski
Josh,McEachran,Chelsea,M,josh mceachran
Harry,Kane,Spurs,F,harry kane
Andy,King,L'pool,M,andy king
Craig,Dawson,WBA,D,craig dawson
Jack,Butland,Stoke,G,jack butland
Leon,Britton,Swansea,M,leon britton
Andy,Wilkinson,Stoke,D,andy wilkinson
Adrián, ,West Ham,G,adrian  
Marc,Muniesa,Stoke,D,marc muniesa
Kasper,Schmeichel,L'pool,G,kasper schmeichel
Valentin,Roberge,S'land,D,valentin roberge
Chris,Wood,L'pool,F,chris wood
Marc,Albrighton,L'pool,M,marc albrighton
Phil,Bardsley,Stoke,D,phil bardsley
Jonás,Gutiérrez,N'castle,M,jonas gutierrez
Andi,Weimann,Villa,F,andi weimann
Ryan,Bertrand,Chelsea,D,ryan bertrand
Yannick,Bolasie,Palace,M,yannick bolasie
Joel, ,Everton,G,joel  
Maya,Yoshida,So'ton,D,maya yoshida
Antonio,Luna,Villa,D,antonio luna
Paul,McShane,Hull,D,paul mcshane
Jonathan,Walters,Stoke,M,jonathan walters
Glenn,Murray,Palace,F,glenn murray
John,Stones,Everton,D,john stones
Stephen,Quinn,Hull,M,stephen quinn
Ayoze,Pérez,N'castle,F,ayoze perez  
Alejandro,Pozuelo,Swansea,M,alejandro pozuelo
Brek,Shea,Stoke,M,brek shea
James,Collins,West Ham,D,james collins
Ryan,Taylor,N'castle,D,ryan taylor
Maynor,Figueroa,Hull,D,maynor figueroa
Ryan,Shotton,Stoke,D,ryan shotton
Ritchie,De Laet,L'pool,D,ritchie de laet
Wes,Morgan,L'pool,D,wes morgan
Thomas,Carroll,Spurs,M,thomas carroll
Carlton,Cole,West Ham,F,carlton cole
Steven,Gerrard,Leics,M,steven gerrard
Armand,Traoré,QPR,M,armand traore
Liam,Moore,L'pool,D,liam moore
Vito,Mannone,S'land,G,vito mannone
Santiago,Vergini,S'land,D,santiago vergini
Mike,Williamson,N'castle,D,mike williamson
Costel,Pantilimon,S'land,G,costel pantilimon
Joel,Ward,Palace,M,joel ward
Ashley,Barnes,Burnley,M,ashley barnes
Charis,Mavrias,S'land,M,charis mavrias
David,Jones,Burnley,M,david jones
Wilson,Palacios,Stoke,M,wilson palacios
Jordi,Gómez,S'land,M,jordi gomez  
Ángel,Rangel,Swansea,D,angel rangel
Marvin,Sordell,Burnley,F,marvin sordell
Steve,Sidwell,Stoke,M,steve sidwell
Sammy,Ameobi,N'castle,M,sammy ameobi
Samba,Diakité,QPR,M,samba diakite
Liam,Rosenior,Hull,D,liam rosenior
Jerome,Thomas,Palace,M,jerome thomas
Adlène,Guédioura,Palace,M,adlene guedioura
Marvin,Emnes,Swansea,F,marvin emnes
Nick,Proschwitz,Hull,F,nick proschwitz
Lukas,Jutkiewicz,Burnley,F,lukas jutkiewicz
John,Guidetti,Man City,F,john guidetti
Joey,Barton,QPR,M,joey barton
Dean,Marney,Burnley,M,dean marney
José,Fonte,So'ton,D,jose fonte  
Sam,Vokes,Burnley,F,sam vokes
Jason,Shackell,Burnley,D,jason shackell
Barry,Bannan,Palace,M,barry bannan
Jeffrey,Schlupp,L'pool,D,jeffrey schlupp
Kenneth,Omeruo,Chelsea,D,kenneth omeruo
Kevin,Nolan,West Ham,M,kevin nolan
Callum,Chambers,So'ton,D,callum chambers
Rob,Elliot,N'castle,G,rob elliot
George,Thorne,WBA,M,george thorne
Jack,Grealish,Villa,M,jack grealish
Boaz,Myhill,WBA,G,boaz myhill
Kyle,Bartley,Swansea,D,kyle bartley
Antolín,Alcaraz,Everton,D,antolin alcaraz
Chris,Herd,Villa,D,chris herd
Gary,O'Neil,QPR,M,gary o'neil
Ross,Wallace,Burnley,M,ross wallace
Yoon,Seok-Young,QPR,D,yoon seok-young  
Ben,Mee,Burnley,D,ben mee
Joe,Dudgeon,Hull,D,joe dudgeon
Alex,Bruce,Hull,D,alex bruce
Dean,Hammond,L'pool,M,dean hammond
Artur,Boruc,So'ton,G,artur boruc
Karl,Henry,QPR,M,karl henry
Matt,Gilks,Burnley,G,matt gilks
Jos,Hooiveld,So'ton,D,jos hooiveld
Leon,Osman,Everton,M,leon osman
Ashley,Richards,Swansea,D,ashley richards
Kurt,Zouma,Chelsea,D,kurt zouma
Tomas,Rosicky,Arsenal,M,tomas rosicky
Jermaine,Jenas,QPR,M,jermaine jenas
Gareth,Barry,Everton,M,gareth barry
Haris,Vuckic,N'castle,M,haris vuckic
Alan,Hutton,Villa,D,alan hutton
Matty,Taylor,Burnley,D,matty taylor
Chris,Baird,WBA,D,chris baird
Joe,Cole,Villa,M,joe cole
Brad,Jones,Leics,G,brad jones
John,O'Shea,S'land,D,john o'shea
Martín,Demichelis,Man City,D,martin demichelis
Tim,Howard,Everton,G,tim howard
Jack,Robinson,Leics,D,jack robinson
Stuart,O'Keefe,Palace,M,stuart o'keefe
Robert,Green,QPR,G,robert green
Peter,Odemwingie,Stoke,M,peter odemwingie
Patrick,van Aanholt,Chelsea,D,patrick van aanholt
Ben,Amos,Man Utd,G,ben amos
Yaya,Sanogo,Arsenal,F,yaya sanogo
Gary,Gardner,Villa,M,gary gardner
Tom,Heaton,Burnley,G,tom heaton
Stephen,Henderson,West Ham,G,stephen henderson
Conor,McAleny,Everton,F,conor mcaleny
Scott,Arfield,Burnley,M,scott arfield
Ben,Hamer,L'pool,G,ben hamer
Sylvain,Distin,Everton,D,sylvain distin
Kolo,Touré,Leics,D,kolo toure
Peter,Ramage,Palace,D,peter ramage
Danny,Lafferty,Burnley,D,danny lafferty
Damien,Delaney,Palace,D,damien delaney
Guy,Demel,West Ham,D,guy demel
Zoumana,Bakayogo,L'pool,D,zoumana bakayogo
Steven,Reid,Burnley,D,steven reid
Shaun,Wright-Phillips,QPR,M,shaun wright-phillips
Tony,Hibbert,Everton,D,tony hibbert
Peter,Crouch,Stoke,F,peter crouch
Stephen,Dobbie,Palace,F,stephen dobbie
Wes,Brown,S'land,D,wes brown
Julián,Speroni,Palace,G,julian speroni
Gareth,McAuley,WBA,D,gareth mcauley
Joseph,Mills,Burnley,D,joseph mills
Damián,Martínez,Arsenal,G,damian martinez
Gary,Taylor-Fletcher,L'pool,M,gary taylor-fletcher
Brad,Friedel,Spurs,G,brad friedel
Paulo,Gazzaniga,So'ton,G,paulo gazzaniga
Eldin,Jakupovic,Hull,G,eldin jakupovic
Richard,Dunne,QPR,D,richard dunne
Abdul,Razak,West Ham,M,abdul razak
Paul,Konchesky,L'pool,D,paul konchesky
Kevin,Long,Burnley,D,kevin long
Matthew,Upson,L'pool,D,matthew upson
Jed,Steer,Villa,G,jed steer
Clint,Hill,QPR,D,clint hill
Brian,Murphy,QPR,G,brian murphy
Shay,Given,Villa,G,shay given
Dionatan,Teixeira,Stoke,D,dionatan teixeira  
Jussi,Jääskeläinen,West Ham,G,jussi jaaskelainen
Thomas,Sørensen,Stoke,G,thomas sorensen
Mark,Schwarzer,Chelsea,G,mark schwarzer
John,Lundstram,Everton,M,john lundstram
Marcin,Wasilewski,L'pool,D,marcin wasilewski
Jak,Alnwick,N'castle,G,jak alnwick
Luke,Daniels,WBA,G,luke daniels
Steve,Harper,Hull,G,steve harper
Gerhard,Tremmel,Swansea,G,gerhard tremmel
Kelvin,Davis,So'ton,G,kelvin davis
Jordan,Archer,Spurs,G,jordan archer
Bobby,Zamora,QPR,F,bobby zamora
Lewis,Price,Palace,G,lewis price
Conrad,Logan,L'pool,G,conrad logan
Alex,Cisak,Burnley,G,alex cisak
Riyad,Mahrez,L'pool,M,riyad mahrez
Michael,Duff,Burnley,D,michael duff
